date,value
2022-02-28,3269413761.8791595
2022-03-01,3802960481.500421
2022-03-02,3876445538.677443
2022-03-03,3957230344.1661577
2022-03-04,3757874488.422639
2022-03-07,3365714177.7497616
2022-03-08,3081957486.1001816
2022-03-09,3185391254.113918
2022-03-10,3810399627.3323784
2022-03-11,3836986105.122321
2022-03-14,3871963569.3117785
2022-03-15,3837171341.168661
2022-03-16,4035496239.827776
2022-03-17,4227338006.7932005
2022-03-18,3840148737.4579215
2022-03-21,4071001475.359152
2022-03-22,3903091186.5780015
2022-03-23,3611742591.4731846
2022-03-24,3491750656.6039133
2022-03-25,3995584203.3268547
2022-03-28,3973345088.2843575
2022-03-29,3910583346.6097336
2022-03-30,4106563748.1882396
2022-03-31,4073249526.9565387
2022-04-01,3532413293.016423
2022-04-06,3628224796.2925625
2022-04-07,3423064600.1289988
2022-04-08,3478588755.8327103
2022-04-11,3289139640.044275
2022-04-12,3055181411.52286
2022-04-13,2878908392.647629
2022-04-14,2899832455.172116
2022-04-15,2776178167.806015
2022-04-18,2588900651.605559
2022-04-19,2934271205.4652624
2022-04-20,3002853437.5108953
2022-04-21,2955006743.9796367
2022-04-22,2757455409.4599195
2022-04-25,2688534231.2707596
2022-04-26,2444226048.054186
2022-04-27,2517342187.3315563
2022-04-28,2506284460.297978
2022-04-29,2590330659.4854264
2022-05-05,2658629771.239954
2022-05-06,2513206819.7279754
2022-05-09,2661629519.8226147
2022-05-10,2850804299.686135
2022-05-11,2976044430.3202286
2022-05-12,2925685879.567989
2022-05-13,3521835845.3218393
2022-05-16,3524257517.290748
2022-05-17,3445888846.115279
2022-05-18,3423564396.4040136
2022-05-19,3500463547.168049
2022-05-20,3707515065.565366
2022-05-23,3661049398.0999446
2022-05-24,3576709062.260961
2022-05-25,3571352022.0811043
2022-05-26,3657871695.7058144
2022-05-27,3799689613.2115884
2022-05-30,3738034551.793084
2022-05-31,3620634287.606873
2022-06-01,3690591729.621159
2022-06-02,3328259582.9825134
2022-06-06,3316396967.9303665
2022-06-07,3235715658.9546084
2022-06-08,3239221837.2231336
2022-06-09,3117923825.1258144
2022-06-10,3574191387.8173947
2022-06-13,3769834480.054487
2022-06-14,3983290639.315049
2022-06-15,3945257932.8626423
2022-06-16,3939596170.700882
2022-06-17,3937685303.809774
2022-06-20,4098300169.010213
2022-06-21,4067232762.030534
2022-06-22,3646079971.9180555
2022-06-23,3775252016.9362745
2022-06-24,3422080778.8760996
2022-06-27,3533373380.877122
2022-06-28,3760627161.7862
2022-06-29,3465800327.7048416
2022-06-30,3480253704.044686
2022-07-01,3258887562.299328
2022-07-04,3164682204.7070704
2022-07-05,2972195398.571752
2022-07-06,3763682222.189817
2022-07-07,3766639036.1342664
2022-07-08,3969888510.0169587
2022-07-11,3962468056.957039
2022-07-12,3362638795.722139
2022-07-13,3454936808.319915
2022-07-14,3560989117.539925
2022-07-15,3699637692.4468675
2022-07-18,3910553642.2705555
2022-07-19,3807393646.7410374
2022-07-20,3768378582.4426346
2022-07-21,3810162487.071811
2022-07-22,4047706836.1928215
2022-07-25,3861542150.5190926
2022-07-26,4041644294.722083
2022-07-27,4109213382.5779514
2022-07-28,4275802548.1123443
2022-07-29,4392056280.8637085
2022-08-01,4276858690.1923833
2022-08-02,4200964951.03079
2022-08-03,3789208166.5752907
2022-08-04,3740529074.5195713
2022-08-05,3738803828.923327
2022-08-08,3783054647.4961066
2022-08-09,3979711026.095911
2022-08-10,4080132545.1593657
2022-08-11,3931342070.49053
2022-08-12,3951244374.6019244
2022-08-15,3961075879.6740227
2022-08-16,4115900316.898285
2022-08-17,4108634652.195657
2022-08-18,4291333022.58336
2022-08-19,3996932363.5091443
2022-08-22,3888465289.677456
2022-08-23,3820966720.133072
2022-08-24,3507839823.3996105
2022-08-25,3364851098.716052
2022-08-26,3278806112.3576508
2022-08-29,3310913215.661893
2022-08-30,3101971593.621097
2022-08-31,2861211398.012625
2022-09-01,2812982523.6158953
2022-09-02,2780590165.1004653
2022-09-05,2758164729.7467856
2022-09-06,2743278113.3916383
2022-09-07,2825048061.6818514
2022-09-08,2801424741.812011
2022-09-09,2705529125.8959026
2022-09-13,2652362880.685823
2022-09-14,2571339613.507172
2022-09-15,2442776497.9796324
2022-09-16,2301241476.0677
2022-09-19,2277758794.735635
2022-09-20,2297917337.402298
2022-09-21,1933532671.159583
2022-09-22,1929142212.7933939
2022-09-23,1931950903.9630387
2022-09-26,1900761241.9917269
2022-09-27,1956037994.4027846
2022-09-28,1923955567.3737812
2022-09-29,2383166370.91234
