rank,instrument,composite_score,momentum_5d,reversal_5d,momentum_10d,momentum_20d,volatility_20d,score_momentum_5d,score_reversal_5d,score_momentum_10d,score_momentum_20d,score_volatility_20d
109,SZ300820,0.7429454361516652,1.6886585022410863,-1.6886585022410863,1.6074002763859094,1.810617427217241,0.2967094771551746,0.33773170044821726,-0.33773170044821726,0.32148005527718193,0.36212348544344825,0.05934189543103492
110,SH688600,0.7359632896262898,0.45966275455975036,-0.45966275455975036,1.6299551578129066,1.875603033937335,0.17425825638120676,0.09193255091195007,-0.09193255091195007,0.32599103156258136,0.37512060678746706,0.034851651276241354
111,SH688300,0.7332099894351572,0.6061979541538356,-0.6061979541538356,0.7220139667588872,2.145694914232647,0.7983410661842515,0.12123959083076713,-0.12123959083076713,0.14440279335177744,0.42913898284652946,0.15966821323685032
112,SH600228,0.7285110734547166,1.3218865336875278,-1.3218865336875278,1.3325852516483356,2.102641109890472,0.20732900573477508,0.2643773067375056,-0.2643773067375056,0.26651705032966716,0.4205282219780944,0.04146580114695502
113,SZ002201,0.7284015036266384,1.4940401380025927,-1.4940401380025927,1.2971143357874542,1.9482509412508056,0.3966422410949316,0.29880802760051856,-0.29880802760051856,0.25942286715749086,0.3896501882501611,0.07932844821898632
114,SZ001232,0.7283969688203239,1.9030115699143504,-1.9030115699143504,1.453457780899488,1.8102263298948287,0.37830073330730224,0.3806023139828701,-0.3806023139828701,0.2906915561798976,0.36204526597896575,0.07566014666146045
115,SH600876,0.7170685896638591,1.909403605555821,-1.909403605555821,1.7152554398106887,1.543918596654393,0.3261689118542135,0.3818807211111642,-0.3818807211111642,0.3430510879621378,0.3087837193308786,0.0652337823708427
116,SZ300319,0.7142140177630597,1.160624868070582,-1.160624868070582,1.28663867820673,1.9191050206319318,0.36532638997663625,0.2321249736141164,-0.2321249736141164,0.25732773564134603,0.38382100412638637,0.07306527799532725
117,SZ001216,0.7086745597900738,2.066227349317051,-2.066227349317051,1.7915324817624996,1.7045145915536422,0.047325725634227,0.4132454698634102,-0.4132454698634102,0.35830649635249995,0.34090291831072844,0.009465145126845402
118,SZ002174,0.7065376744137113,1.7218431568814099,-1.7218431568814099,2.1367508465661564,1.3476127644820122,0.04832476102038731,0.344368631376282,-0.344368631376282,0.42735016931323133,0.2695225528964024,0.009664952204077462
119,SH688485,0.7053422653269101,0.9909526716915615,-0.9909526716915615,1.652574901704371,1.4347333358816403,0.4394030890485391,0.19819053433831232,-0.19819053433831232,0.33051498034087423,0.28694666717632805,0.08788061780970782
120,SH603322,0.7016995564794926,0.8281423490403613,-0.8281423490403613,2.1491821280979355,1.405712843712682,-0.04639718941315496,0.16562846980807228,-0.16562846980807228,0.4298364256195871,0.2811425687425364,-0.009279437882630992
121,SH688519,0.6944225742213499,1.7560303104820343,-1.7560303104820343,1.5998941301160448,1.5097888073500485,0.3624299336406557,0.35120606209640687,-0.35120606209640687,0.319978826023209,0.30195776147000974,0.07248598672813114
122,SH688181,0.6870404963632064,1.2532009944330837,-1.2532009944330837,1.9374265842424434,1.0373195146791787,0.4604563828944094,0.25064019888661676,-0.25064019888661676,0.3874853168484887,0.20746390293583575,0.09209127657888189
123,SZ000628,0.6790676951549179,0.17259163400504862,-0.17259163400504862,0.4614900583779856,2.632881828769734,0.30096658862687004,0.034518326801009726,-0.034518326801009726,0.09229801167559713,0.5265763657539468,0.06019331772537401
124,SH688700,0.6771540373587925,0.6619933107295627,-0.6619933107295627,1.5357848108539713,1.2598825606289803,0.5901028153110109,0.13239866214591253,-0.13239866214591253,0.3071569621707943,0.2519765121257961,0.1180205630622022
125,SZ300548,0.6749265138430758,1.0121074618358201,-1.0121074618358201,1.3951066756253516,1.4446513997325756,0.5348744938574511,0.20242149236716403,-0.20242149236716403,0.2790213351250703,0.28893027994651516,0.10697489877149023
126,SZ003033,0.6724086450081552,0.8535557477980051,-0.8535557477980051,1.7271920939642795,1.448452165363831,0.18639896571266523,0.17071114955960104,-0.17071114955960104,0.3454384187928559,0.2896904330727662,0.037279793142533046
127,SH603270,0.6637811038325868,0.7024945510162084,-0.7024945510162084,1.0862040883548696,1.7700708706332327,0.4626305601748321,0.14049891020324168,-0.14049891020324168,0.21724081767097392,0.35401417412664654,0.09252611203496643
